"Story","Title","Result","Date","Stability","Duration (s)"
"Shopping cart tests","Add product to cart and check if present in shopping summary","SUCCESS","2017-03-31T14:35:08.883+03:00","0.0","31.66"
"Cart pop up tests","Add product to cart and check if successfully added","SUCCESS","2017-03-31T14:26:23.765+03:00","0.0","23.22"
"Quick view tests","Add product to wish list and check confirmation","SUCCESS","2017-03-31T14:32:56.996+03:00","0.0","27.57"
"Shopping cart tests","Buy a product complete test flow","SUCCESS","2017-03-31T14:36:12.504+03:00","0.0","38.57"
"Shopping cart tests","Check address page details are correct","SUCCESS","2017-03-31T14:37:29.918+03:00","0.0","35.99"
"Main tests","Check banners presence","SUCCESS","2017-03-31T14:31:18.351+03:00","0.0","14.4"
"Catalog tests","Check blouses subsections title banner and liste itmes","SUCCESS","2017-03-31T14:27:45.500+03:00","0.0","14.27"
"Tool bar tests","Check bottom toolbar elements prsence","SUCCESS","2017-03-31T14:39:23.787+03:00","0.0","14.04"
"Catalog tests","Check casual dresses sub section from dresses title banner and listed items","SUCCESS","2017-03-31T14:28:20.616+03:00","0.0","16.31"
"Catalog tests","Check dresses pages title and banner and listed items","SUCCESS","2017-03-31T14:27:07.988+03:00","0.0","16.31"
"Main tests","Check elements presence from dresses drop down","SUCCESS","2017-03-31T14:30:47.188+03:00","0.0","14.5"
"Main tests","Check elements presence from women drop down","SUCCESS","2017-03-31T14:31:02.322+03:00","0.0","15.29"
"Authentication tests","Check error message at failed authentication","SUCCESS","2017-03-31T14:25:33.808+03:00","0.0","14.26"
"Search result tests","Check error message is displayed for no results search","SUCCESS","2017-03-31T14:34:17.312+03:00","0.0","15.18"
"Search result tests","Check if search result retains the search term","SUCCESS","2017-03-31T14:34:51.722+03:00","0.0","16.52"
"Catalog tests","Check if women products are in stock","SUCCESS","2017-03-31T14:26:48.412+03:00","0.0","18.38"
"Catalog tests","Check if women products are sorted alphabetically ato z","SUCCESS","2017-03-31T14:28:54.822+03:00","0.0","19.9"
"Catalog tests","Check if women products are sorted alphabetically zto a","FAILURE","2017-03-31T14:29:15.357+03:00","0.0","19.83"
"Main tests","Check logo presence","SUCCESS","2017-03-31T14:32:17.491+03:00","0.0","13.13"
"Shopping cart tests","Check payment details are correct","SUCCESS","2017-03-31T14:36:51.607+03:00","0.0","37.57"
"Main tests","Check popular and best sellers sections presence","SUCCESS","2017-03-31T14:32:03.144+03:00","0.0","13.73"
"Quick view tests","Check product name is correct","SUCCESS","2017-03-31T14:33:47.725+03:00","0.0","24.26"
"Shopping cart tests","Check shipping page details are correct","SUCCESS","2017-03-31T14:35:41.257+03:00","0.0","30.63"
"Main tests","Check shopping chart presence","SUCCESS","2017-03-31T14:31:48.272+03:00","0.0","14.21"
"Main tests","Check t shirt element presence","SUCCESS","2017-03-31T14:31:33.389+03:00","0.0","14.27"
"Catalog tests","Check t shirt sub section title banner and listed items","SUCCESS","2017-03-31T14:29:51.815+03:00","0.0","16.13"
"Catalog tests","Check t shirt title and banner and listed items","SUCCESS","2017-03-31T14:29:35.799+03:00","0.0","15.35"
"Catalog tests","Check women product list is correctly sorted by price high to low","FAILURE","2017-03-31T14:28:00.362+03:00","0.0","19.34"
"Catalog tests","Check women product list is correctly sorted by price low to high","SUCCESS","2017-03-31T14:27:25.193+03:00","0.0","19.76"
"Catalog tests","Click catalog checkbox from women section and verify filtering","SUCCESS","2017-03-31T14:28:37.856+03:00","0.0","16.23"
"Catalog tests","Click color checkbox from women section and verify filtering","SUCCESS","2017-03-31T14:30:08.664+03:00","0.0","17.3"
"Tool bar tests","Click on follow us icon and check landing page","SUCCESS","2017-03-31T14:39:06.469+03:00","0.0","16.3"
"Search result tests","Compare search listed items to number of search results","SUCCESS","2017-03-31T14:34:33.435+03:00","0.0","17.62"
"Authentication tests","Create account with invalid email and verify thrown error","SUCCESS","2017-03-31T14:25:17.225+03:00","0.0","15.57"
"Authentication tests","Create account with valid email and verify landing page","SUCCESS","2017-03-31T14:25:48.601+03:00","0.0","16.47"
"Quick view tests","Increase product quantity and check quantity field input","SUCCESS","2017-03-31T14:33:25.226+03:00","0.0","21.83"
"Authentication tests","Log in and verify account","SUCCESS","2017-03-31T14:26:05.687+03:00","0.0","15.05"
"Catalog tests","Navigate to women section and check landing page","SUCCESS","2017-03-31T14:30:26.629+03:00","0.0","16.54"
"Sign up tests","Register new account successfully","SUCCESS","2017-03-31T14:38:26.790+03:00","0.0","21.13"
"Sign up tests","Register with invalid credentials and check error","SUCCESS","2017-03-31T14:38:08.206+03:00","0.0","17.95"
"Quick view tests","Share product on social network and chek launced pop up","SUCCESS","2017-03-31T14:32:32.023+03:00","0.0","24.32"
"Tool bar tests","Subscribe to newsletter","SUCCESS","2017-03-31T14:39:38.405+03:00","0.0","16.09"
"Tool bar tests","Subscribe to newsletter with invalid email","SUCCESS","2017-03-31T14:38:49.249+03:00","0.0","16.38"
